Dac	RedY	Redx	Redy	GreenY	Greenx	Greeny	BlueY	Bluex	Bluey	GrayY	Grayx	Grayy
0	0.5775	0.31005	0.31815	0.5755	0.3021	0.32425	0.569	0.3116	0.3149	0.5715	0.30415	0.32555
8	0.6115	0.3255	0.32685	0.654	0.30125	0.3538	0.588	0.2951	0.3186	0.708	0.3085	0.3356
16	0.6665	0.34745	0.3335	0.804	0.30435	0.37495	0.609	0.279	0.29835	0.9465	0.3219	0.34065
24	0.7765	0.3892	0.3325	1.0605	0.30895	0.4019	0.6615	0.2593	0.27425	1.364	0.32385	0.34455
32	0.928	0.4231	0.3339	1.4405	0.30425	0.4352	0.7315	0.2408	0.2447	1.9715	0.32975	0.34805
40	1.155	0.4657	0.3327	1.9865	0.30555	0.46	0.834	0.2191	0.22005	2.8665	0.3321	0.3518
48	1.44	0.49635	0.335	2.679	0.3048	0.48015	0.9675	0.20295	0.1994	4.0075	0.333	0.3508
56	1.8125	0.5234	0.3355	3.5665	0.3026	0.4946	1.139	0.1878	0.18405	5.4675	0.33505	0.3511
64	2.2825	0.5444	0.336	4.7015	0.30235	0.5094	1.3415	0.18025	0.17135	7.3065	0.3358	0.35185
72	2.8325	0.5608	0.33555	5.958	0.3029	0.5154	1.605	0.17185	0.16175	9.403	0.33565	0.34965
80	3.439	0.5708	0.3373	7.37	0.3027	0.52135	1.894	0.16745	0.15485	11.77	0.33535	0.34875
88	4.1265	0.5808	0.3366	9.011	0.30225	0.52565	2.224	0.16355	0.1491	14.46	0.33505	0.34825
96	4.8665	0.58875	0.3369	10.815	0.30185	0.52975	2.6015	0.16065	0.1446	17.44	0.334	0.34725
104	5.723	0.59265	0.33615	12.8	0.302	0.53185	2.99	0.1575	0.142	20.7	0.3345	0.34735
112	6.614	0.5973	0.336	14.845	0.30185	0.5344	3.414	0.15565	0.13945	24.12	0.3344	0.3465
120	7.5005	0.60145	0.33685	16.97	0.30135	0.5363	3.8675	0.15435	0.1372	27.62	0.3338	0.34575
128	8.557	0.60315	0.336	19.345	0.3013	0.53725	4.344	0.15325	0.1357	31.585	0.33415	0.3457
135	9.591	0.606	0.33695	21.77	0.3014	0.5387	4.8365	0.15255	0.13435	35.595	0.334	0.34545
143	10.895	0.60825	0.33685	24.85	0.3014	0.5398	5.419	0.1518	0.13295	40.65	0.3343	0.34595
151	12.37	0.6102	0.3367	28.395	0.301	0.54075	6.115	0.1509	0.1318	46.43	0.33425	0.34605
159	13.995	0.61145	0.33655	32.11	0.3008	0.5415	6.883	0.14995	0.13085	52.56	0.33425	0.3456
167	15.755	0.6135	0.3368	36.395	0.30095	0.5423	7.7665	0.14955	0.1299	59.535	0.33355	0.34525
175	17.805	0.61445	0.33685	41.11	0.30075	0.54295	8.696	0.14875	0.12935	67.28	0.33395	0.3454
183	19.975	0.6158	0.3368	45.82	0.30075	0.54345	9.7255	0.14835	0.12875	75.285	0.3339	0.34465
191	22.28	0.6164	0.3366	50.97	0.3007	0.5437	10.75	0.148	0.1282	83.72	0.3344	0.3448
199	24.465	0.61745	0.33685	56.48	0.3007	0.5443	11.875	0.148	0.12775	92.645	0.3335	0.345
207	26.765	0.61795	0.3369	61.675	0.3008	0.5445	13.025	0.1476	0.1275	101.05	0.3334	0.34425
215	28.97	0.61865	0.3369	66.915	0.30085	0.54485	14.175	0.14745	0.12725	109.65	0.33295	0.34385
223	31.115	0.6191	0.33695	71.825	0.30085	0.545	15.3	0.147	0.1271	117.75	0.3327	0.34335
231	33.905	0.61965	0.337	78.55	0.3009	0.5453	16.315	0.147	0.127	128.25	0.334	0.34525
239	37.21	0.62015	0.33695	86.54	0.30075	0.54585	17.69	0.1469	0.127	140.65	0.3348	0.3464
247	40.42	0.62075	0.33715	93.595	0.30125	0.54615	19.365	0.14655	0.12715	152.6	0.33455	0.34575
255	43.18	0.6214	0.3373	99.39	0.30165	0.5466	20.94	0.1465	0.1274	162.55	0.3343	0.34485
