MOVIE	MOVIEDIR	BREAKDUR	INSTRUCTION
male/FW/FW_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/MST/MST_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LT/LT_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LP/LP_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/MS/MS_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LT/LT_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AD/AD_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/DA/DA_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/SS/SS_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/SS/SS_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AB/AB_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/HV/HV_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/DA/DA_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/EB/EB_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/KH/KH_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/DA/DA_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AvD/AvD_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/FW/FW_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LP/LP_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/MST/MST_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TV/TV_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LT/LT_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/MST/MST_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TR/TR_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AD/AD_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
