MOVIE	MOVIEDIR	BREAKDUR	INSTRUCTION
female/AD/AD_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/FW/FW_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LT/LT_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/SS/SS_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LP/LP_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/HV/HV_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/DA/DA_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AB/AB_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AB/AB_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TR/TR_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LP/LP_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LT/LT_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/MS/MS_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/SS/SS_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TV/TV_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/FW/FW_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/SS/SS_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LP/LP_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/MST/MST_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
