DACs	RED-gun						GREEN-gun					BLUE-gun					WHITE
		Y		x		y			Y		x		y			Y		x		y			Y		x		y		
196		10.0200	0.5708	0.3670		29.5800	0.3038	0.5740		6.5900	0.1824	0.1076		39.6100	0.2858	0.3171	
200		10.3300	0.5736	0.3661		30.7000	0.3032	0.5750		6.7200	0.1807	0.1058		41.1300	0.2852	0.3167	
204		10.6400	0.5763	0.3653		31.8800	0.3040	0.5767		6.8500	0.1791	0.1040		42.7500	0.2849	0.3163	
208		10.9400	0.5759	0.3642		33.1100	0.3022	0.5760		6.9900	0.1775	0.1023		44.4700	0.2850	0.3162	
212		11.2600	0.5782	0.3637		34.2500	0.3023	0.5793		7.1300	0.1760	0.1007		46.0700	0.2843	0.3159	
216		11.5900	0.5801	0.3634		35.5000	0.3009	0.5799		7.3000	0.1746	0.0998		47.8600	0.2841	0.3159	
220		11.9000	0.5811	0.3639		36.7500	0.3004	0.5784		7.4300	0.1744	0.0981		49.5100	0.2836	0.3153	
224		12.2500	0.5822	0.3617		38.0700	0.2991	0.5804		7.5900	0.1731	0.0967		51.4000	0.2835	0.3151	
228		12.5900	0.5852	0.3629		39.3300	0.2979	0.5810		7.7300	0.1719	0.0955		53.1000	0.2836	0.3149	
232		12.9700	0.5842	0.3602		40.7400	0.2977	0.5834		7.9000	0.1716	0.0942		55.0400	0.2828	0.3147	
236		13.2600	0.5853	0.3604		42.0200	0.2973	0.5822		8.0600	0.1704	0.0929		56.9100	0.2828	0.3144	
240		13.6600	0.5892	0.3607		43.3100	0.2971	0.5820		8.1900	0.1695	0.0918		58.7000	0.2830	0.3141	
244		14.0600	0.5892	0.3596		44.7800	0.2962	0.5828		8.3500	0.1685	0.0908		60.7000	0.2826	0.3140	
248		14.4300	0.5912	0.3612		46.1500	0.2959	0.5839		8.5200	0.1674	0.0898		62.6200	0.2824	0.3135	
252		14.8000	0.5903	0.3588		47.5700	0.2955	0.5852		8.6900	0.1664	0.0888		64.5600	0.2822	0.3134	
255		15.0500	0.5907	0.3592		48.4600	0.2951	0.5843		8.8100	0.1667	0.0882		65.8400	0.2822	0.3131	
