DELAY	ACTSTIMDUR	RT
933.7	1500.6	1892.6
616.9	1500.6	1654.0
983.7	867.0	847.1
833.7	1017.1	1001.2
950.4	516.9	510.7
833.7	817.0	802.7
850.3	16.7	0.0
850.4	583.6	571.3
900.4	983.7	975.4
800.3	1017.1	999.4
867.0	800.3	780.1
983.7	1333.9	1322.9
900.4	1483.9	1472.2
616.9	1433.9	1416.6
550.2	867.0	847.3
850.4	1400.6	1384.8
833.7	900.4	891.4
616.9	683.6	673.4
683.6	1050.4	1037.7
600.2	1450.6	1435.9
